original_passage,tagged_words,response_summary,em_score
"
<span adaptation='no'>애플</span>이 집단 소송에 대한 합의금으로 9천5백만 달러에 달하는 금액을 지불하기로 했습니다. 원고 측은 애플의 '인공지능 비서' Siri가 갑자기 켜져서 이용자의 동의 없이 기밀 사항 또는 사적인 내용이 포함된 대화 내용을 수집해 제3자에게 제공했다고 주장하며 소송을 제기했어요. 사실 애플이 이 '혐의'를 인정한 것은 아니에요. USD 95M 정도로 이 소송을 '종료하기로' 합의를 본 <span adaptation='no'>건데</span>요, 애플 입장에서는 소송을 더 이끌어나가는 위험을 감수하는 것보다 그냥 빨리 이 건을 마무리짓는 게 낫겠다고 본 것이죠. 애플은 이전에도 집단 소송을 몇 번 경험한 적이 있어요. 작년 1월에는 의도적으로 아이폰이 느려지게 했다는 혐의로 5억짜리 소송에 휘말렸고, 3월에는 중국에서의 매출 감소에 대한 사실을 주주들에게 은폐했다는 이유로 4.9억을 지불한 바 있어요. 11월에도 <span adaptation='no'>영국</span>의 iCloud 사용자를 소위 '앱등이'로 만들고 사용료를 과하게 부과했다며 소송을 당했고요. 이런 것들에 비하면 9천5백만 달러 정도는 귀엽게 느껴지기까지 하네요.","['건데', '애플', '영국']","<span adaptation='no'>애플</span>이 사람들에게 950억 원이 넘는 돈을 주기로 했어요. 사람들이 <span adaptation='no'>애플</span>을 고소한 이유는 시리가 허락도 없이 켜져서 사람들의 개인적인 이야기를 몰래 듣고 다른 사람에게 알려줬다고 생각했기 때문이에요. <span adaptation='no'>애플</span>은 자기들이 잘못했다고 인정하진 않았지만, 오래 싸우는 것보다 돈을 주고 빨리 끝내는 게 낫다고 생각했어요.

<span adaptation='no'>애플</span>은 전에도 비슷한 일이 여러 번 있었어요. 작년에는 아이폰을 일부러 느리게 만들었다고 해서 5억 달러를 물었고, 중국에서 장사가 잘 안 된다는 걸 숨겼다고 해서 4억 9천만 달러를 물었어요. 11월에는 <span adaptation='no'>영국</span> 사람들에게 너무 많은 돈을 받았다며 또 고소를 당했어요. 이런 다른 소송들과 비교하면 이번에 내야 하는 돈은 그리 많지 않아 보여요.",0.6666666666666666
"
한옥에서 대문을 들어서면 제일 먼저 만나는 공간이 마당이다. 서양에서 마당과 비슷한 공간은 건물의 중앙에 수직으로 뚫은 중정이다. 중정은 건물 내부의 공간으로 나무와 화초로 정성 들여 가꾸어 놓고 감상하는 정원으로서의 성격이 강하다. 반면에 한옥의 마당은 집의 내부이면서 외부가 되는 공간으로, 일반적으로 비워놓고 집안의 다양한 <span adaptation='no'>목적</span>을 충족시키는 복합 <span adaptation='no'>생활</span> 공간으로서 <span adaptation='no'>활용</span>하였다.
한옥의 마당은 채워지지 않은 빈 공간이기 때문에 그 활용의 폭이 넓어진다. 집의 여유 공간으로서 마당은 농사일을 준비하고 추수 후에는 한바탕 축제를 열기도 하며 때로는 관혼상제의 의식을 치르는 공간이 된다. 또한 마당의 공간적 여유는 한옥에 거주하는 이에게 심리적 여유를 주기도 한다. 한옥의 방에 들어가면 방이 작아도 좁게 느껴지지 않고 마음이 편안해지는데 이는 창문을 통해 보이는 마당이 좁은 실내 공간을 보완하기 때문이다. 마당으로 들어오는 <span adaptation='no'>햇볕</span>과 바람을 통해 자연과 마주하게 되는 경험은 우리의 마음을 여유롭게 하는 데 한몫을 한다. 더욱이 방과 방 사이에 위치한 빈 공간의 마당은 각자의 방에서 거리를 두고 창문을 열어 서로를 바라볼 수 있게 하기 때문에 사람과 사람 간의 멀지도 가깝지도 않은 심정의 거리를 지니게 하는 것이다.
한편, 느슨한 경계선으로서의 한옥의 마당이 지닌 공간적 성격은 자연과 사람, 사람과 사람의 만남을 이끌며 소통의 공간으로서 기능하게 하였다. 자연과 사람의 중간 영역인 마당을 통해 인간은 자연과 교감하면서 자연의 품에 들어간다. 채와 채의 중간 영역으로서 마당은 혼례와 같은 잔칫날이나 장례와 같은 통과의례가 치러지는 장소이다. 이때 마당은 외부인을 들이면서 외부인과 내부인의 만남이 일어나게 하고 때로는 신분을 넘어선 만남도 가능하게 하는 장이 된다.
이렇듯 한옥의 마당은 다양한 용도로 활용 가능한 열린 공간이었다. 마당은 여유 공간으로서 다목적 생활 공간이자 공용 공간이 되었다. 또한 중간 영역으로서 인간과 자연의 소통이 일어났을 뿐만 아니라 가족과 사회 공동체 구성원 간의 소통을 원활하게 하는 공간이었다.
","['목적', '햇볕', '활용', '생활']","한옥에 들어가면 처음 만나는 곳이 마당이에요. 서양 집에도 마당 같은 곳이 있는데, 이를 중정이라고 해요. 중정은 예쁜 나무와 꽃을 심어두고 구경하는 곳이에요. 하지만 한옥의 마당은 달라요. 마당은 집 안이면서도 밖 같은 곳이고, 비워두어서 여러 가지로 쓸 수 있는 곳이에요.

한옥의 마당은 비어있어서 무엇이든 할 수 있어요. 농사일도 하고, 잔치도 열고, 결혼식이나 장례식도 할 수 있어요. 또 마당이 있어서 방이 작아도 마음이 편안해요. 창문으로 마당이 보이니까요. <span adaptation='no'>햇볕</span>도 들어오고 바람도 불어서 자연을 느낄 수 있어요.

마당은 자연과 사람, 사람과 사람이 만나는 곳이에요. 마당에서 자연을 느끼고, 다른 사람들도 만날 수 있어요. 결혼식이나 장례식 때는 다른 사람들이 마당에 와서 함께 시간을 보내요.

한옥의 마당은 여러 가지로 쓸 수 있는 열린 곳이에요. 가족들이 함께 쓰는 곳이면서, 자연도 느끼고 다른 사람들도 만날 수 있는 곳이에요.",0.25
"
애플이 집단 소송에 대한 <span adaptation='no'>합의</span>금으로 9천5백만 달러에 달하는 금액을 지불하기로 했습니다. 원고 측은 애플의 '인공지능 비서' Siri가 갑자기 켜져서 이용자의 동의 없이 기밀 사항 또는 사적인 내용이 포함된 대화 내용을 수집해 제3자에게 제공했다고 주장하며 소송을 제기했어요. <span adaptation='no'>사실</span> 애플이 이 '혐의'를 인정한 것은 아니에요. USD 95M 정도로 이 소송을 '종료하기로' 합의를 본 건데요, 애플 입장에서는 소송을 더 이끌어나가는 위험을 감수하는 것보다 그냥 빨리 이 건을 마무리짓는 게 낫겠다고 본 것이죠. 애플은 이전에도 집단 소송을 몇 번 경험한 적이 있어요. 작년 1월에는 의도적으로 아이폰이 느려지게 했다는 혐의로 5억짜리 소송에 휘말렸고, 3월에는 중국에서의 <span adaptation='no'>매출</span> 감소에 대한 사실을 주주들에게 은폐했다는 <span adaptation='no'>이유</span>로 4.9억을 지불한 바 있어요. 11월에도 영국의 iCloud 사용자를 소위 '앱등이'로 만들고 사용료를 과하게 부과했다며 소송을 당했고요. 이런 것들에 비하면 9천5백만 달러 정도는 귀엽게 느껴지기까지 하네요.","['이유', '합의', '사실', '매출']","애플이 재판을 끝내기 위해 9천5백만 달러를 내기로 했어요. 사람들은 애플의 음성 도우미 시리(Siri)가 허락도 없이 켜져서 몰래 대화를 듣고, 그 내용을 다른 사람에게 알려줬다고 말했어요. <span adaptation='no'>사실</span> 애플은 자기들이 잘못했다고 말하지 않았어요. 하지만 긴 재판을 계속하는 것보다 돈을 내고 빨리 끝내는 게 낫다고 생각했어요. 

애플은 전에도 이런 재판을 여러 번 했어요. 작년에는 아이폰을 일부러 느리게 만들었다고 해서 5억 달러를 냈고, 중국에서 장사가 잘 안 된다는 <span adaptation='no'>사실</span>을 숨겼다고 해서 4.9억 달러를 냈어요. 11월에는 영국 사람들이 애플 클라우드 값을 너무 비싸게 받았다며 재판을 걸었어요. 이런 것들에 비하면 이번 9천5백만 달러는 적은 돈처럼 보여요.",0.25
"
한옥에서 대문을 들어서면 제일 먼저 만나는 공간이 마당이다. 서양에서 마당과 비슷한 공간은 건물의 중앙에 수직으로 뚫은 중정이다. 중정은 건물 내부의 공간으로 나무와 화초로 정성 들여 가꾸어 놓고 감상하는 정원으로서의 성격이 강하다. 반면에 한옥의 마당은 집의 내부이면서 외부가 되는 공간으로, 일반적으로 비워놓고 집안의 다양한 목적을 충족시키는 복합 생활 공간으로서 활용하였다.
한옥의 마당은 채워지지 않은 빈 공간이기 <span adaptation='no'>때문</span>에 그 활용의 폭이 넓어진다. 집의 여유 공간으로서 마당은 농사일을 준비하고 추수 후에는 한바탕 축제를 열기도 하며 때로는 관혼상제의 의식을 치르는 공간이 된다. 또한 마당의 공간적 여유는 한옥에 거주하는 이에게 심리적 여유를 주기도 한다. 한옥의 방에 들어가면 방이 작아도 좁게 느껴지지 않고 마음이 편안해지는데 이는 창문을 통해 보이는 마당이 좁은 실내 공간을 보완하기 때문이다. 마당으로 들어오는 햇볕과 바람을 통해 자연과 마주하게 되는 경험은 우리의 마음을 여유롭게 하는 데 한몫을 한다. 더욱이 방과 방 사이에 위치한 빈 공간의 마당은 각자의 방에서 거리를 두고 창문을 열어 서로를 바라볼 수 있게 하기 때문에 사람과 사람 간의 멀지도 가깝지도 않은 심정의 거리를 지니게 하는 것이다.
한편, 느슨한 경계선으로서의 한옥의 마당이 지닌 공간적 성격은 자연과 사람, 사람과 사람의 만남을 이끌며 소통의 공간으로서 기능하게 하였다. 자연과 사람의 중간 영역인 마당을 통해 인간은 자연과 교감하면서 자연의 품에 들어간다. 채와 채의 중간 영역으로서 마당은 혼례와 같은 잔칫날이나 장례와 같은 통과의례가 치러지는 장소이다. 이때 마당은 외부인을 들이면서 외부인과 내부인의 만남이 일어나게 하고 때로는 신분을 넘어선 만남도 가능하게 하는 장이 된다.
이렇듯 한옥의 마당은 다양한 용도로 활용 가능한 열린 공간이었다. 마당은 여유 공간으로서 다목적 생활 공간이자 공용 공간이 되었다. 또한 중간 영역으로서 인간과 자연의 소통이 일어났을 뿐만 아니라 가족과 사회 공동체 구성원 간의 소통을 원활하게 하는 공간이었다.
",['때문'],"한옥에 들어가면 제일 먼저 마당이 나와요. 서양 집에도 비슷한 공간이 있는데, 이를 '중정'이라고 해요. 중정은 집 가운데 있는 정원이에요. 하지만 한옥의 마당은 달라요. 마당은 비워두고 여러 가지로 쓸 수 있게 만들었어요.

한옥의 마당은 비어있어서 무엇이든 할 수 있어요. 농사일도 하고, 잔치도 열고, 결혼식이나 장례식도 할 수 있어요. 또 마당이 있어서 방이 작아도 답답하지 않아요. 창문으로 마당이 보이니까요. 마당으로 들어오는 햇빛과 바람이 기분을 좋게 해줘요. 방과 방 사이에 마당이 있어서 서로 적당한 거리를 두고 지낼 수 있어요.

한옥의 마당은 사람과 자연이 만나는 곳이에요. 또 마당에서는 집 안 사람들과 손님들이 만나요. 결혼식이나 장례식 같은 큰 행사도 마당에서 해요. 마당은 신분이 다른 사람들도 만날 수 있는 곳이었어요.

이렇게 한옥의 마당은 여러 용도로 쓸 수 있는 열린 공간이에요. 사람들은 마당에서 자연과 만나고, 다른 사람들과도 만나며 지냈어요.",0.0
"
<span adaptation='no'>애플</span>이 집단 소송에 대한 합의금으로 9천5백만 <span adaptation='no'>달러</span>에 달하는 금액을 <span adaptation='no'>지불</span>하기로 했습니다. 원고 측은 애플의 '인공지능 비서' Siri가 갑자기 켜져서 이용자의 동의 없이 기밀 사항 또는 사적인 내용이 포함된 대화 내용을 수집해 제3자에게 제공했다고 주장하며 소송을 제기했어요. 사실 애플이 이 '혐의'를 인정한 것은 아니에요. USD 95M 정도로 이 소송을 '종료하기로' 합의를 본 건데요, 애플 입장에서는 소송을 더 이끌어나가는 위험을 감수하는 것보다 그냥 빨리 이 건을 마무리짓는 게 낫겠다고 본 것이죠. 애플은 이전에도 집단 소송을 몇 번 경험한 적이 있어요. 작년 1월에는 의도적으로 <span adaptation='no'>아이폰</span>이 느려지게 했다는 혐의로 5억짜리 소송에 휘말렸고, 3월에는 중국에서의 매출 감소에 대한 사실을 주주들에게 은폐했다는 이유로 4.9억을 지불한 바 있어요. 11월에도 영국의 iCloud <span adaptation='no'>사용</span>자를 소위 '앱등이'로 만들고 사용료를 과하게 부과했다며 소송을 당했고요. 이런 것들에 비하면 9천5백만 달러 정도는 귀엽게 느껴지기까지 하네요.","['애플', '달러', '사용', '지불', '아이폰']","<span adaptation='no'>애플</span>이 문제를 해결하기 위해 9천5백만 <span adaptation='no'>달러</span>를 내기로 했어요. 사람들이 <span adaptation='no'>애플</span>을 고소한 이유는 시리라는 음성 도우미가 허락도 없이 켜져서 사람들의 비밀 이야기를 몰래 듣고 다른 곳에 보냈다는 거예요. <span adaptation='no'>애플</span>은 자기들이 잘못했다고 인정한 건 아니에요. 하지만 긴 싸움을 피하고 빨리 끝내고 싶어서 돈을 내기로 한 거예요.

<span adaptation='no'>애플</span>은 전에도 비슷한 일이 있었어요. 작년에는 일부러 <span adaptation='no'>아이폰</span>을 느리게 만들었다고 해서 5억 <span adaptation='no'>달러</span>를 냈어요. 또 중국에서 장사가 잘 안 된다는 걸 숨겼다고 해서 4.9억 <span adaptation='no'>달러</span>를 냈어요. 11월에는 영국 사람들에게 iCloud <span adaptation='no'>사용</span> 돈을 너무 많이 받았다고 해서 또 고소를 당했어요.",0.8
"
한옥에서 <span adaptation='no'>대문</span>을 들어서면 제일 먼저 만나는 공간이 마당이다. 서양에서 마당과 비슷한 공간은 건물의 중앙에 수직으로 뚫은 중정이다. 중정은 건물 내부의 공간으로 나무와 화초로 정성 들여 가꾸어 놓고 감상하는 정원으로서의 성격이 강하다. 반면에 한옥의 마당은 집의 내부이면서 <span adaptation='no'>외부</span>가 되는 공간으로, 일반적으로 비워놓고 집안의 다양한 목적을 충족시키는 복합 생활 공간으로서 활용하였다.
한옥의 마당은 채워지지 않은 빈 공간이기 때문에 그 활용의 폭이 넓어진다. 집의 <span adaptation='no'>여유</span> 공간으로서 마당은 농사일을 준비하고 추수 후에는 한바탕 축제를 열기도 하며 때로는 관혼상제의 의식을 치르는 공간이 된다. 또한 마당의 공간적 여유는 한옥에 거주하는 이에게 심리적 여유를 주기도 한다. 한옥의 방에 들어가면 방이 작아도 좁게 느껴지지 않고 마음이 편안해지는데 이는 창문을 통해 보이는 마당이 좁은 실내 공간을 보완하기 때문이다. 마당으로 들어오는 햇볕과 바람을 통해 <span adaptation='no'>자연</span>과 마주하게 되는 경험은 우리의 마음을 여유롭게 하는 데 한몫을 한다. 더욱이 방과 방 사이에 위치한 빈 공간의 마당은 각자의 방에서 거리를 두고 창문을 열어 서로를 바라볼 수 있게 하기 때문에 사람과 사람 간의 멀지도 가깝지도 않은 심정의 거리를 지니게 하는 것이다.
한편, 느슨한 경계선으로서의 한옥의 마당이 지닌 공간적 성격은 자연과 사람, 사람과 사람의 <span adaptation='no'>만남</span>을 이끌며 소통의 공간으로서 기능하게 하였다. 자연과 사람의 중간 영역인 마당을 통해 인간은 자연과 교감하면서 자연의 품에 들어간다. 채와 채의 중간 영역으로서 마당은 혼례와 같은 잔칫날이나 장례와 같은 통과의례가 치러지는 장소이다. 이때 마당은 외부인을 들이면서 외부인과 내부인의 만남이 일어나게 하고 때로는 신분을 넘어선 만남도 가능하게 하는 장이 된다.
이렇듯 한옥의 마당은 다양한 용도로 활용 가능한 열린 공간이었다. 마당은 여유 공간으로서 다목적 생활 공간이자 공용 공간이 되었다. 또한 중간 영역으로서 인간과 자연의 소통이 일어났을 뿐만 아니라 가족과 사회 공동체 구성원 간의 소통을 원활하게 하는 공간이었다.
","['대문', '만남', '외부', '여유', '자연']","한옥에서 <span adaptation='no'>대문</span>을 들어서면 가장 먼저 마당이 나와요. 서양 집에도 마당 같은 곳이 있는데, 집 가운데에 있고 예쁜 나무와 꽃을 심어두는 곳이에요. 하지만 한옥의 마당은 달라요. 한옥 마당은 집 안이면서 <span adaptation='no'>외부</span>가 되는 곳이에요. 보통 비워두고 여러 가지로 사용해요.

한옥 마당은 비어있어서 여러 가지로 쓸 수 있어요. 농사일도 하고, 수확하고 나서는 잔치도 열어요. 결혼식이나 장례식 같은 큰 행사도 해요. 또 마당이 있어서 방이 작아도 마음이 편안해요. 창문으로 마당이 보이니까요. 마당으로 들어오는 햇빛과 바람이 우리 마음을 편하게 해줘요. 방과 방 사이에 마당이 있어서 서로 알맞은 거리를 두고 지낼 수 있어요.

한옥의 마당은 사람과 <span adaptation='no'>자연</span>이 만나는 곳이에요. 또 사람과 사람이 <span adaptation='no'>만남</span>을 가지는 곳이기도 해요. 결혼식이나 장례식 같은 큰 행사를 할 때는 밖 사람들도 들어와서 함께 할 수 있어요.

이렇게 한옥의 마당은 여러 가지로 쓸 수 있는 열린 공간이에요. 가족들이 함께 쓰는 공간이자, 자연과 만나고 다른 사람들과도 만날 수 있는 곳이에요.",0.8
"
애플이 <span adaptation='no'>집단</span> 소송에 대한 합의금으로 9천5백만 달러에 달하는 금액을 지불하기로 했습니다. 원고 측은 애플의 '인공<span adaptation='no'>지능</span> 비서' Siri가 갑자기 켜져서 이용자의 동의 없이 기밀 사항 또는 사적인 내용이 포함된 대화 내용을 수집해 제3자에게 제공했다고 주장하며 소송을 제기했어요. 사실 애플이 이 '혐의'를 인정한 것은 아니에요. USD 95M 정도로 이 소송을 '종료하기로' 합의를 본 건데요, 애플 입장에서는 소송을 더 이끌어나가는 위험을 감수하는 것보다 그냥 빨리 이 건을 마무리짓는 게 낫겠다고 본 것이죠. 애플은 이전에도 집단 소송을 몇 번 경험한 적이 있어요. 작년 1월에는 의도적으로 아이폰이 느려지게 했다는 혐의로 5억짜리 소송에 휘말렸고, 3월에는 중국에서의 매출 감소에 대한 사실을 주주들에게 은폐했다는 이유로 4.9억을 지불한 바 있어요. 11월에도 영국의 iCloud 사용자를 소위 '앱등이'로 만들고 사용료를 과하게 부과했다며 소송을 당했고요. 이런 것들에 비하면 9천5백만 달러 정도는 귀엽게 느껴지기까지 하네요.","['집단', '지능']","애플이 <span adaptation='no'>집단</span> 소송을 끝내기 위해 9천5백만 달러를 내기로 했어요. 사람들이 애플을 고소한 이유는 애플의 음성비서 시리(Siri)가 사람들 모르게 켜져서 개인적인 이야기를 몰래 듣고 다른 사람에게 알려줬다는 거예요. 애플은 자기들이 잘못했다고 인정하진 않았어요. 하지만 오랫동안 싸우는 것보다 돈을 주고 빨리 끝내는 게 낫다고 생각했어요.

애플은 전에도 비슷한 일이 많았어요. 작년 1월에는 일부러 아이폰을 느리게 만들었다고 해서 5억 달러를 물었어요. 3월에는 중국에서 장사가 잘 안 된다는 걸 주주들한테 말하지 않아서 4.9억 달러를 물었어요. 11월에는 영국 사람들에게 아이클라우드 값을 너무 비싸게 받았다고 고소를 당했어요. 이런 것들에 비하면 이번 9천5백만 달러는 오히려 적은 돈처럼 보여요.",0.5
"
한옥에서 <span adaptation='no'>대문</span>을 들어서면 제일 먼저 만나는 공간이 마당이다. 서양에서 마당과 비슷한 공간은 건물의 중앙에 수직으로 뚫은 중정이다. 중정은 건물 내부의 공간으로 나무와 화초로 정성 들여 가꾸어 놓고 감상하는 정원으로서의 <span adaptation='no'>성격</span>이 강하다. 반면에 한옥의 마당은 집의 내부이면서 외부가 되는 공간으로, 일반적으로 비워놓고 집안의 다양한 목적을 충족시키는 복합 생활 공간으로서 활용하였다.
한옥의 마당은 채워지지 않은 빈 공간이기 때문에 그 활용의 폭이 넓어진다. 집의 여유 공간으로서 마당은 농사일을 <span adaptation='no'>준비</span>하고 추수 후에는 한바탕 축제를 열기도 하며 때로는 관혼상제의 의식을 치르는 공간이 된다. 또한 마당의 공간적 여유는 한옥에 거주하는 이에게 심리적 여유를 주기도 한다. 한옥의 방에 들어가면 방이 작아도 좁게 느껴지지 않고 마음이 편안해지는데 이는 창문을 통해 보이는 마당이 좁은 실내 공간을 보완하기 때문이다. 마당으로 들어오는 햇볕과 바람을 통해 자연과 <span adaptation='no'>마주</span>하게 되는 경험은 우리의 마음을 여유롭게 하는 데 한몫을 한다. 더욱이 방과 방 사이에 <span adaptation='no'>위치</span>한 빈 공간의 마당은 각자의 방에서 거리를 두고 창문을 열어 서로를 바라볼 수 있게 하기 때문에 사람과 사람 간의 멀지도 가깝지도 않은 심정의 거리를 지니게 하는 것이다.
한편, 느슨한 경계선으로서의 한옥의 마당이 지닌 공간적 성격은 자연과 사람, 사람과 사람의 만남을 이끌며 소통의 공간으로서 기능하게 하였다. 자연과 사람의 중간 영역인 마당을 통해 인간은 자연과 교감하면서 자연의 품에 들어간다. 채와 채의 중간 영역으로서 마당은 혼례와 같은 잔칫날이나 장례와 같은 통과의례가 치러지는 장소이다. 이때 마당은 외부인을 들이면서 외부인과 내부인의 만남이 일어나게 하고 때로는 신분을 넘어선 만남도 가능하게 하는 장이 된다.
이렇듯 한옥의 마당은 다양한 용도로 활용 가능한 열린 공간이었다. 마당은 여유 공간으로서 다목적 생활 공간이자 공용 공간이 되었다. 또한 중간 영역으로서 인간과 자연의 소통이 일어났을 뿐만 아니라 가족과 사회 공동체 구성원 간의 소통을 원활하게 하는 공간이었다.
","['대문', '성격', '준비', '위치', '마주']","한옥에서 <span adaptation='no'>대문</span>을 들어서면 가장 먼저 마당이 나와요. 서양 집에도 마당 같은 곳이 있는데, 이를 중정이라고 해요. 중정은 집 가운데 있는 정원이에요. 하지만 한옥의 마당은 달라요. 마당은 비어있는 곳이라서 여러 가지로 쓸 수 있어요.

마당이 비어있어서 할 수 있는 일이 많아요. 농사일도 하고, 추수를 마치면 잔치도 열어요. 결혼식이나 장례식도 치를 수 있어요. 또 마당이 있어서 방이 작아도 마음이 편해요. 창문으로 마당이 보이니까요. 마당으로 들어오는 햇빛과 바람이 우리 마음을 편하게 해줘요.

마당은 사람과 자연을 이어주는 곳이에요. 사람들끼리도 만나고 이야기하는 곳이에요. 결혼식이나 장례식 때는 많은 사람들이 마당에 모여요. 마당에서는 누구나 만날 수 있어요.

이렇게 한옥의 마당은 여러 가지로 쓸 수 있는 열린 공간이에요. 사람들의 생활 공간이기도 하고, 자연과 만나는 공간이기도 해요. 또 사람들이 서로 만나고 이야기하는 곳이기도 해요.",0.2
"
애플이 집단 소송에 대한 합의금으로 9천5백만 달러에 달하는 금액을 지불하기로 했습니다. 원고 측은 애플의 '인공지능 비서' Siri가 갑자기 켜져서 이용자의 <span adaptation='no'>동의</span> 없이 기밀 사항 또는 사적인 내용이 포함된 대화 내용을 수집해 제3자에게 제공했다고 주장하며 소송을 제기했어요. 사실 애플이 이 '<span adaptation='no'>혐의</span>'를 인정한 것은 아니에요. USD 95M 정도로 이 소송을 '종료하기로' 합의를 본 건데요, 애플 입장에서는 소송을 더 이끌어나가는 위험을 감수하는 것보다 그냥 빨리 이 건을 마무리짓는 게 낫겠다고 본 것이죠. 애플은 이전에도 집단 소송을 몇 번 경험한 적이 있어요. 작년 1월에는 의도적으로 아이폰이 느려지게 했다는 혐의로 5억짜리 소송에 휘말렸고, 3월에는 중국에서의 매출 감소에 대한 사실을 <span adaptation='no'>주주</span>들에게 은폐했다는 이유로 4.9억을 지불한 바 있어요. 11월에도 영국의 iCloud 사용자를 소위 '앱등이'로 만들고 사용료를 과하게 부과했다며 소송을 당했고요. 이런 것들에 비하면 9천5백만 달러 정도는 귀엽게 느껴지기까지 하네요.","['동의', '주주', '혐의']","애플이 95억원이 넘는 돈을 물기로 했어요. 사람들이 말하기를, 애플의 시리가 허락도 없이 켜져서 사람들의 비밀 이야기를 듣고 다른 사람에게 알려줬대요. 애플은 자기들이 잘못했다고 말하진 않았어요. 하지만 돈을 내고 이 문제를 빨리 끝내고 싶어했어요.

애플은 전에도 이런 일이 몇 번 있었어요. 작년에는 일부러 아이폰을 느리게 만들었다고 해서 큰 돈을 물었어요. 또 중국에서 장사가 잘 안 된다는 걸 <span adaptation='no'>주주</span>들에게 말하지 않아서 문제가 됐어요. 영국에서는 아이클라우드 값을 너무 비싸게 받았다고 해서 또 혼이 났어요. 이런 것들에 비하면 이번에 내는 돈은 그래도 좀 적은 편이네요.",0.3333333333333333
"
한옥에서 대문을 들어서면 제일 먼저 만나는 <span adaptation='no'>공간</span>이 마당이다. 서양에서 마당과 비슷한 공간은 건물의 중앙에 수직으로 뚫은 중정이다. 중정은 건물 내부의 공간으로 나무와 화초로 정성 들여 가꾸어 놓고 감상하는 정원으로서의 성격이 강하다. 반면에 한옥의 마당은 집의 내부이면서 외부가 되는 공간으로, 일반적으로 비워놓고 집안의 다양한 목적을 충족시키는 복합 생활 공간으로서 활용하였다.
한옥의 마당은 채워지지 않은 빈 공간이기 때문에 그 활용의 폭이 넓어진다. 집의 여유 공간으로서 마당은 농사일을 준비하고 추수 후에는 한바탕 축제를 열기도 하며 때로는 관혼상제의 의식을 치르는 공간이 된다. 또한 마당의 공간적 여유는 한옥에 거주하는 이에게 심리적 여유를 주기도 한다. 한옥의 방에 들어가면 방이 작아도 좁게 느껴지지 않고 마음이 편안해지는데 이는 창문을 통해 보이는 마당이 좁은 실내 공간을 보완하기 때문이다. 마당으로 들어오는 햇볕과 바람을 통해 자연과 마주하게 되는 경험은 우리의 마음을 여유롭게 하는 데 한몫을 한다. 더욱이 방과 방 사이에 위치한 빈 공간의 마당은 각자의 방에서 거리를 두고 창문을 열어 서로를 바라볼 수 있게 하기 때문에 사람과 사람 간의 멀지도 가깝지도 않은 심정의 거리를 지니게 하는 것이다.
한편, 느슨한 경계선으로서의 한옥의 마당이 지닌 공간적 성격은 자연과 사람, 사람과 사람의 만남을 이끌며 소통의 공간으로서 기능하게 하였다. 자연과 사람의 중간 영역인 마당을 통해 인간은 자연과 교감하면서 자연의 품에 들어간다. 채와 채의 중간 영역으로서 마당은 혼례와 같은 잔칫날이나 장례와 같은 통과의례가 치러지는 <span adaptation='no'>장소</span>이다. 이때 마당은 외부인을 들이면서 외부<span adaptation='no'>인과</span> 내부인의 만남이 일어나게 하고 때로는 신분을 넘어선 만남도 가능하게 하는 장이 된다.
이렇듯 한옥의 마당은 다양한 용도로 활용 가능한 열린 공간이었다. 마당은 여유 공간으로서 다목적 생활 공간이자 공용 공간이 되었다. 또한 중간 영역으로서 인간과 자연의 소통이 일어났을 뿐만 아니라 가족과 사회 공동체 구성원 간의 소통을 원활하게 하는 공간이었다.
","['인과', '장소', '공간']","한옥에 들어가면 제일 먼저 마당이 나와요. 서양 집에도 마당 같은 곳이 있는데, 이곳은 주로 예쁜 나무와 꽃을 심어두고 구경하는 곳이에요. 하지만 한옥의 마당은 달라요. 한옥 마당은 비워두고 여러 가지로 쓸 수 있게 만들어요.

한옥 마당은 비어있어서 무엇이든 할 수 있어요. 농사일도 하고, 추수가 끝나면 잔치도 열어요. 경사나 슬픈 일이 있을 때도 마당을 써요. 마당이 있어서 방이 작아도 답답하지 않아요. 창문으로 마당이 보이니까 마음이 편안해져요. 마당으로 들어오는 햇빛과 바람이 기분을 좋게 해줘요.

한옥 마당은 사람들이 만나고 이야기하는 곳이에요. 마당에서는 자연과 가까이 지낼 수 있어요. 결혼식이나 장례식 같은 큰일도 마당에서 해요. 마당은 밖 사람들도 들어올 수 있는 곳이에요. 마당에서는 신분이 달라도 만날 수 있었어요.

한옥 마당은 여러 가지로 쓸 수 있는 열린 <span adaptation='no'>공간</span>이에요. 마당은 사람과 자연이 만나는 곳이고, 가족들과 이웃들이 만나서 이야기하는 <span adaptation='no'>장소</span>예요.",0.6666666666666666
