original_passage,tagged_words,response_summary,em_score
"'안녕!' 에디슨이 전화 송화구에 대고 소리를 질렀다. 진동판이 떨리면서 그에 연결된 바늘이 움직였고, 그 바늘이 회전하는 파라핀 종이 띠 위에 무엇인가를 썼다. 1877년 7월, 불연속적으로 움직이는 튜링의 종이 띠가 나오기 81년 전으로, 기록은 아직 아날로그 방식으로 이루어졌다. 종이 띠를 재생시키자 진동판이 움직이면서 거의 알아듣기 힘들게 '안녕!'이라는 소리가 울려 나왔다.
에디슨은 알아들었다. 한 달 후, 그는 이 전화기 부속장치에 '포노그래프(Phonograph)'라는 새 이름을 붙여주었다. 기술자 크루에시는 이 실험에 근거해 회전하는 은박지 원통에 청각 적 진동을 새길 수 있는 장치를 만들어보라는 의뢰를 받았다. 에디슨 아니면 크루에시가 손잡이를 돌리는 동안 에디슨은 포노그래프 집음부에 대고 소리를 질렀다. 이번에는 「메리의 어린 양」이라는 동요였다. 그러고 나서 그들은 바늘을 처음으 로 보내고는 다시 은박지 원통을 돌렸다. 그러자 최초의 포노그래프가 외쳤던 소리를 재생했다. 천재는 <span adaptation='no'>99퍼센트의 땀과 1퍼센트의 영감</span>으로 이루어진다는 말을 한 이 천재가 지친 듯 몸을 뒤로 기댔다. 기계적인 소리기록장치가 발명된 것이다. '말하자면, 말이 영원 하게 되었다- Speech, as it were, has become immortal.'",['99퍼센트의 땀과 1퍼센트의 영감'],"에디슨은 전화기에 대고 ""안녕!""이라고 크게 말했어요. 그러자 전화기 안의 얇은 판이 흔들렸고, 그것과 연결된 바늘이 움직여서 파라핀 종이에 무언가를 그렸어요. 이것은 1877년 7월의 일이에요. 나중에 그 종이를 다시 돌리자, 조금은 알아듣기 어려웠지만 ""안녕!""이라는 소리가 들렸어요.

에디슨은 이 소리를 들을 수 있었어요. 한 달 뒤에 그는 이 기계를 '포노그래프'라고 이름 지었어요. 그리고 기술자 크루에시에게 은박지로 된 둥근 통에 소리를 새길 수 있는 기계를 만들어 달라고 했어요.

에디슨이나 크루에시가 손잡이를 돌리는 동안 에디슨은 「메리의 어린 양」이라는 노래를 불렀어요. 그리고 나서 그들은 처음부터 다시 은박지 통을 돌렸더니, 방금 부른 노래가 다시 들렸어요. <span adaptation='no'>99퍼센트의 땀과 1퍼센트의 영감</span>이라는 말을 한 에디슨은 피곤해 보였어요. 드디어 소리를 저장하고 다시 들을 수 있는 기계가 만들어진 거예요. 에디슨은 ""이제 말을 영원히 남길 수 있게 되었다""고 했어요.",1.0
"'안녕!' 에디슨이 전화 송화구에 대고 소리를 질렀다. 진동판이 떨리면서 그에 연결된 바늘이 움직였고, 그 바늘이 회전하는 파라핀 종이 띠 위에 무엇인가를 썼다. 1877년 7월, 불연속적으로 움직이는 튜링의 종이 띠가 나오기 81년 전으로, 기록은 아직 아날로그 방식으로 이루어졌다. 종이 띠를 재생시키자 진동판이 움직이면서 거의 알아듣기 힘들게 '안녕!'이라는 소리가 울려 나왔다.
에디슨은 알아들었다. 한 달 후, 그는 이 전화기 부속장치에 '포노그래프(Phonograph)'라는 새 이름을 붙여주었다. 기술자 크루에시는 이 실험에 근거해 회전하는 은박지 원통에 청각 적 진동을 새길 수 있는 장치를 만들어보라는 의뢰를 받았다. 에디슨 아니면 크루에시가 손잡이를 돌리는 동안 에디슨은 포노그래프 집음부에 대고 소리를 질렀다. 이번에는 「메리의 어린 양」이라는 동요였다. 그러고 나서 그들은 바늘을 처음으 로 보내고는 다시 은박지 원통을 돌렸다. 그러자 최초의 포노그래프가 외쳤던 소리를 재생했다. 천재는 <span adaptation='no'>99퍼센트의 땀과 1퍼센트의 영감</span>으로 이루어진다는 말을 한 이 천재가 지친 듯 몸을 뒤로 기댔다. 기계적인 소리기록장치가 발명된 것이다. '말하자면, 말이 영원 하게 되었다- Speech, as it were, has become immortal.'",['99퍼센트의 땀과 1퍼센트의 영감'],"에디슨이 ""안녕!""하고 전화기에 대고 큰 소리로 말했어요. 소리가 진동판을 흔들었고, 진동판에 달린 바늘이 움직여서 파라핀 종이에 무언가를 그렸어요. 이건 1877년 7월의 일이에요. 그 종이를 다시 재생했더니, 희미하게 ""안녕!""이라는 소리가 들렸어요.

에디슨은 이 소리가 들린 걸 알아차렸어요. 한 달 뒤에 이 기계를 '포노그래프'라고 이름 지었어요. 기술자 크루에시는 은박지로 된 둥근 통에 소리를 새길 수 있는 새로운 기계를 만들었어요.

에디슨이나 크루에시가 손잡이를 돌리는 동안, 에디슨은 ""메리의 어린 양""이라는 노래를 불렀어요. 그리고 다시 처음으로 돌아가서 재생했더니, 노래 소리가 들렸어요. 열심히 연구한 끝에(<span adaptation='no'>99퍼센트의 땀과 1퍼센트의 영감</span>), 소리를 기록하는 기계를 만든 거예요. 에디슨은 ""이제 말이 영원히 남을 수 있게 되었다""고 했어요.",1.0
"'안녕!' 에디슨이 전화 송화구에 대고 소리를 질렀다. 진동판이 떨리면서 그에 연결된 바늘이 움직였고, 그 바늘이 회전하는 파라핀 종이 띠 위에 무엇인가를 썼다. 1877년 7월, 불연속적으로 움직이는 튜링의 종이 띠가 나오기 81년 전으로, 기록은 아직 아날로그 방식으로 이루어졌다. 종이 띠를 재생시키자 진동판이 움직이면서 거의 알아듣기 힘들게 '안녕!'이라는 소리가 울려 나왔다.
에디슨은 알아들었다. 한 달 후, 그는 이 전화기 부속장치에 '포노그래프(Phonograph)'라는 새 이름을 붙여주었다. 기술자 크루에시는 이 실험에 근거해 회전하는 은박지 원통에 청각 적 진동을 새길 수 있는 장치를 만들어보라는 의뢰를 받았다. 에디슨 아니면 크루에시가 손잡이를 돌리는 동안 에디슨은 포노그래프 집음부에 대고 소리를 질렀다. 이번에는 「메리의 어린 양」이라는 동요였다. 그러고 나서 그들은 바늘을 처음으 로 보내고는 다시 은박지 원통을 돌렸다. 그러자 최초의 포노그래프가 외쳤던 소리를 재생했다. 천재는 <span adaptation='no'>99퍼센트의 땀과 1퍼센트의 영감</span>으로 이루어진다는 말을 한 이 천재가 지친 듯 몸을 뒤로 기댔다. 기계적인 소리기록장치가 발명된 것이다. '말하자면, 말이 영원 하게 되었다- Speech, as it were, has become immortal.'",['99퍼센트의 땀과 1퍼센트의 영감'],"에디슨이 ""안녕!""하고 크게 소리를 질렀어요. 그의 소리가 전화기의 작은 판을 흔들었고, 그 움직임이 바늘을 통해 파라핀 종이에 기록됐어요. 이것은 1877년 7월의 일이었어요. 나중에 그 종이를 다시 돌렸더니 희미하게 ""안녕!""이라는 소리가 들렸어요.

에디슨은 이 소리가 들린 것을 알았어요. 한 달 뒤에 이 기계를 '포노그래프'라고 이름 지었어요. 그리고 기술자 크루에시에게 은박지로 된 둥근 통에 소리를 새길 수 있는 기계를 만들어달라고 했어요.

에디슨은 이 새로운 기계에 ""메리의 어린 양""이라는 노래를 불렀어요. 그리고 다시 기계를 돌렸더니 노래 소리가 들렸어요. <span adaptation='no'>99퍼센트의 땀과 1퍼센트의 영감</span>이라는 말을 한 에디슨은 피곤했지만 기뻐했어요. 드디어 소리를 저장할 수 있는 기계가 만들어진 거예요. 이제 사람의 말소리를 영원히 남길 수 있게 된 거예요.",1.0
"'안녕!' 에디슨이 전화 송화구에 대고 소리를 질렀다. 진동판이 떨리면서 그에 연결된 바늘이 움직였고, 그 바늘이 회전하는 파라핀 종이 띠 위에 무엇인가를 썼다. 1877년 7월, 불연속적으로 움직이는 튜링의 종이 띠가 나오기 81년 전으로, 기록은 아직 아날로그 방식으로 이루어졌다. 종이 띠를 재생시키자 진동판이 움직이면서 거의 알아듣기 힘들게 '안녕!'이라는 소리가 울려 나왔다.
에디슨은 알아들었다. 한 달 후, 그는 이 전화기 부속장치에 '포노그래프(Phonograph)'라는 새 이름을 붙여주었다. 기술자 크루에시는 이 실험에 근거해 회전하는 은박지 원통에 청각 적 진동을 새길 수 있는 장치를 만들어보라는 의뢰를 받았다. 에디슨 아니면 크루에시가 손잡이를 돌리는 동안 에디슨은 포노그래프 집음부에 대고 소리를 질렀다. 이번에는 「메리의 어린 양」이라는 동요였다. 그러고 나서 그들은 바늘을 처음으 로 보내고는 다시 은박지 원통을 돌렸다. 그러자 최초의 포노그래프가 외쳤던 소리를 재생했다. 천재는 <span adaptation='no'>99퍼센트의 땀과 1퍼센트의 영감</span>으로 이루어진다는 말을 한 이 천재가 지친 듯 몸을 뒤로 기댔다. 기계적인 소리기록장치가 발명된 것이다. '말하자면, 말이 영원 하게 되었다- Speech, as it were, has become immortal.'",['99퍼센트의 땀과 1퍼센트의 영감'],"에디슨은 ""안녕!""이라고 큰 소리로 외쳤어요. 그가 만든 기계는 소리를 파라핀 종이에 기록했어요. 이것은 1877년 7월의 일이었어요. 그리고 그 종이를 다시 틀었더니 ""안녕!""이라는 소리가 들렸어요. 소리가 조금 이상했지만, 에디슨은 알아들을 수 있었어요.

한 달 뒤에 에디슨은 이 기계를 '포노그래프'라고 이름 지었어요. 그리고 기술자 크루에시에게 더 좋은 기계를 만들어달라고 부탁했어요. 새 기계는 은박지로 된 둥근 통에 소리를 기록할 수 있었어요.

에디슨은 새 기계에 ""메리의 어린 양""이라는 노래를 불렀어요. 그리고 기계를 다시 틀어보니 노래 소리가 나왔어요! <span adaptation='no'>99퍼센트의 땀과 1퍼센트의 영감</span>이라는 말을 한 에디슨은 피곤했지만 기뻤어요. 드디어 소리를 저장하는 기계를 만든 거예요. 이제 사람의 말소리를 영원히 들을 수 있게 되었어요.",1.0
"'안녕!' 에디슨이 전화 송화구에 대고 소리를 질렀다. 진동판이 떨리면서 그에 연결된 바늘이 움직였고, 그 바늘이 회전하는 파라핀 종이 띠 위에 무엇인가를 썼다. 1877년 7월, 불연속적으로 움직이는 튜링의 종이 띠가 나오기 81년 전으로, 기록은 아직 아날로그 방식으로 이루어졌다. 종이 띠를 재생시키자 진동판이 움직이면서 거의 알아듣기 힘들게 '안녕!'이라는 소리가 울려 나왔다.
에디슨은 알아들었다. 한 달 후, 그는 이 전화기 부속장치에 '포노그래프(Phonograph)'라는 새 이름을 붙여주었다. 기술자 크루에시는 이 실험에 근거해 회전하는 은박지 원통에 청각 적 진동을 새길 수 있는 장치를 만들어보라는 의뢰를 받았다. 에디슨 아니면 크루에시가 손잡이를 돌리는 동안 에디슨은 포노그래프 집음부에 대고 소리를 질렀다. 이번에는 「메리의 어린 양」이라는 동요였다. 그러고 나서 그들은 바늘을 처음으 로 보내고는 다시 은박지 원통을 돌렸다. 그러자 최초의 포노그래프가 외쳤던 소리를 재생했다. 천재는 <span adaptation='no'>99퍼센트의 땀과 1퍼센트의 영감</span>으로 이루어진다는 말을 한 이 천재가 지친 듯 몸을 뒤로 기댔다. 기계적인 소리기록장치가 발명된 것이다. '말하자면, 말이 영원 하게 되었다- Speech, as it were, has become immortal.'",['99퍼센트의 땀과 1퍼센트의 영감'],"에디슨은 전화기에 대고 ""안녕!""이라고 외쳤어요. 소리가 진동판을 흔들었고, 그 움직임이 파라핀 종이에 기록됐어요. 이건 1877년의 일이에요. 종이에 기록된 소리를 다시 들어보니 희미하게나마 ""안녕!""이라는 소리가 들렸어요.

에디슨은 이 장치를 '포노그래프'라고 이름 지었어요. 그리고 기술자 크루에시에게 은박지로 된 둥근 통에 소리를 새길 수 있는 새로운 기계를 만들어달라고 했어요. 

에디슨은 새 기계에 대고 ""메리의 어린 양""이라는 노래를 불렀어요. 그리고 다시 들어보니 노래 소리가 나왔어요! 이렇게 처음으로 소리를 저장하고 다시 들을 수 있는 기계가 만들어졌어요. <span adaptation='no'>99퍼센트의 땀과 1퍼센트의 영감</span>으로 위대한 발명품이 탄생한 거예요. 에디슨은 ""이제 말이 영원히 남을 수 있게 되었다""고 말했어요.",1.0
"널리 믿어지는 개념과 달리 생산성 증가가 반드시 노동자에 대한 수요 증가로 이어지는 것은 아니다. 일반적으로 '생산성'은 노동자 1인당 산출량, 즉 총산출을 총고용으로 나눈 값으로 정의된다. 노동자 1인당 산출량(평균생산성)이 증가하면 기업이 더 많은 노동자를 고용하고 싶어지리라는 것이 생산성 밴드왜건 개념에서 기대되는 바다.
하지만 노동자 1인당 산출량이 증가한다고 해서 꼭 기업이 더 많은 노동자를 채용하고자 할 인센티브가 생기는 것은 아니다. 기업 입장에서 고용을 늘릴 것이냐 아니냐를 결정할 때 중요한 고려사항은 한계생산성이다. 이는 한 명의 노동자를 추가로 고용할 때 그 노동자가 추가적으로 기여할 산출량(추가적인 생산량 또는 추가적인 고객 서비스의 양 등)을 말한다. <span adaptation='no'>한계생산성과 평균생산성은 다른 개념</span>이다. 평균생산성이 늘어나도 한계생산성은 변하지 않거나 심지어 감소할 수도 있다.",['한계생산성과 평균생산성은 다른 개념'],"많은 사람들이 회사의 생산성이 높아지면 더 많은 사람들을 뽑을 것이라고 생각해요. 하지만 이것은 꼭 사실이 아니에요.

'생산성'이란 한 사람이 얼마나 많이 만들어내는지를 말해요. 예를 들어, 회사에서 물건 100개를 10명이 만든다면, 한 사람당 10개를 만드는 거예요.

회사가 새로운 사람을 뽑을지 말지 결정할 때는 다른 것을 봐요. 새로운 사람을 뽑았을 때 그 사람이 얼마나 더 도움이 되는지를 봐요. <span adaptation='no'>한계생산성과 평균생산성은 다른 개념</span>이에요. 한 사람당 평균적으로 만드는 양이 늘어나도, 새로운 사람을 뽑았을 때 그 사람이 추가로 만들어내는 양은 늘어나지 않거나 오히려 줄어들 수도 있어요.",1.0
"널리 믿어지는 개념과 달리 생산성 증가가 반드시 노동자에 대한 수요 증가로 이어지는 것은 아니다. 일반적으로 '생산성'은 노동자 1인당 산출량, 즉 총산출을 총고용으로 나눈 값으로 정의된다. 노동자 1인당 산출량(평균생산성)이 증가하면 기업이 더 많은 노동자를 고용하고 싶어지리라는 것이 생산성 밴드왜건 개념에서 기대되는 바다.
하지만 노동자 1인당 산출량이 증가한다고 해서 꼭 기업이 더 많은 노동자를 채용하고자 할 인센티브가 생기는 것은 아니다. 기업 입장에서 고용을 늘릴 것이냐 아니냐를 결정할 때 중요한 고려사항은 한계생산성이다. 이는 한 명의 노동자를 추가로 고용할 때 그 노동자가 추가적으로 기여할 산출량(추가적인 생산량 또는 추가적인 고객 서비스의 양 등)을 말한다. <span adaptation='no'>한계생산성과 평균생산성은 다른 개념</span>이다. 평균생산성이 늘어나도 한계생산성은 변하지 않거나 심지어 감소할 수도 있다.",['한계생산성과 평균생산성은 다른 개념'],"많은 사람들이 일하는 사람들의 능력이 좋아지면 회사가 더 많은 사람을 뽑을 거라고 생각해요. 하지만 이건 꼭 그렇지는 않아요.

'생산성'이란 일하는 사람 한 명이 만들어내는 물건의 양을 말해요. 보통은 전체 물건의 양을 일하는 사람 수로 나눈 값이에요.

회사가 사람을 더 뽑을지 말지 결정할 때는 다른 걸 봐요. 새로운 사람을 한 명 더 뽑았을 때 그 사람이 얼마나 더 많은 물건을 만들 수 있는지를 봐요. <span adaptation='no'>한계생산성과 평균생산성은 다른 개념</span>이에요. 전체적으로 생산성이 좋아져도 새로운 사람을 뽑았을 때 얻는 이득은 늘지 않거나 오히려 줄어들 수도 있어요.",1.0
"널리 믿어지는 개념과 달리 생산성 증가가 반드시 노동자에 대한 수요 증가로 이어지는 것은 아니다. 일반적으로 '생산성'은 노동자 1인당 산출량, 즉 총산출을 총고용으로 나눈 값으로 정의된다. 노동자 1인당 산출량(평균생산성)이 증가하면 기업이 더 많은 노동자를 고용하고 싶어지리라는 것이 생산성 밴드왜건 개념에서 기대되는 바다.
하지만 노동자 1인당 산출량이 증가한다고 해서 꼭 기업이 더 많은 노동자를 채용하고자 할 인센티브가 생기는 것은 아니다. 기업 입장에서 고용을 늘릴 것이냐 아니냐를 결정할 때 중요한 고려사항은 한계생산성이다. 이는 한 명의 노동자를 추가로 고용할 때 그 노동자가 추가적으로 기여할 산출량(추가적인 생산량 또는 추가적인 고객 서비스의 양 등)을 말한다. <span adaptation='no'>한계생산성과 평균생산성은 다른 개념</span>이다. 평균생산성이 늘어나도 한계생산성은 변하지 않거나 심지어 감소할 수도 있다.",['한계생산성과 평균생산성은 다른 개념'],"많은 사람들이 직원들이 일을 잘하면 회사가 더 많은 사람을 뽑을 거라고 생각해요. 하지만 이건 꼭 그렇지는 않아요.

보통 '생산성'이란 직원 한 명이 얼마나 많은 일을 하는지를 말해요. 이걸 구하려면 회사가 만든 전체 물건의 양을 직원 수로 나누면 돼요.

하지만 회사가 새로운 직원을 뽑을지 말지 결정할 때는 다른 것을 더 중요하게 봐요. 그건 바로 '새로운 직원 한 명을 더 뽑았을 때 늘어나는 일의 양'이에요. <span adaptation='no'>한계생산성과 평균생산성은 다른 개념</span>이에요. 전체 직원들의 일하는 능력이 좋아져도, 새로운 직원이 할 수 있는 일의 양은 그대로이거나 오히려 줄어들 수도 있어요.",1.0
"널리 믿어지는 개념과 달리 생산성 증가가 반드시 노동자에 대한 수요 증가로 이어지는 것은 아니다. 일반적으로 '생산성'은 노동자 1인당 산출량, 즉 총산출을 총고용으로 나눈 값으로 정의된다. 노동자 1인당 산출량(평균생산성)이 증가하면 기업이 더 많은 노동자를 고용하고 싶어지리라는 것이 생산성 밴드왜건 개념에서 기대되는 바다.
하지만 노동자 1인당 산출량이 증가한다고 해서 꼭 기업이 더 많은 노동자를 채용하고자 할 인센티브가 생기는 것은 아니다. 기업 입장에서 고용을 늘릴 것이냐 아니냐를 결정할 때 중요한 고려사항은 한계생산성이다. 이는 한 명의 노동자를 추가로 고용할 때 그 노동자가 추가적으로 기여할 산출량(추가적인 생산량 또는 추가적인 고객 서비스의 양 등)을 말한다. <span adaptation='no'>한계생산성과 평균생산성은 다른 개념</span>이다. 평균생산성이 늘어나도 한계생산성은 변하지 않거나 심지어 감소할 수도 있다.",['한계생산성과 평균생산성은 다른 개념'],"많은 사람들이 ""회사가 더 잘 돈을 벌면 직원도 더 많이 뽑을 것이다""라고 생각해요. 하지만 이것은 꼭 맞는 말은 아니에요.

'생산성'이란 직원 한 명이 얼마나 많은 일을 하는지를 말해요. 회사에서 만든 물건의 양을 직원 수로 나누면 알 수 있어요. 보통은 직원 한 명이 더 많은 일을 할 수 있게 되면, 회사가 직원을 더 뽑을 거라고 생각해요.

하지만 회사는 새로운 직원을 뽑을 때, 그 직원이 얼마나 더 많은 일을 할 수 있는지를 봐요. <span adaptation='no'>한계생산성과 평균생산성은 다른 개념</span>이에요. 직원들이 평균적으로 일을 잘하게 되어도, 새로 뽑은 직원이 도움이 될지는 또 다른 문제예요.",1.0
"널리 믿어지는 개념과 달리 생산성 증가가 반드시 노동자에 대한 수요 증가로 이어지는 것은 아니다. 일반적으로 '생산성'은 노동자 1인당 산출량, 즉 총산출을 총고용으로 나눈 값으로 정의된다. 노동자 1인당 산출량(평균생산성)이 증가하면 기업이 더 많은 노동자를 고용하고 싶어지리라는 것이 생산성 밴드왜건 개념에서 기대되는 바다.
하지만 노동자 1인당 산출량이 증가한다고 해서 꼭 기업이 더 많은 노동자를 채용하고자 할 인센티브가 생기는 것은 아니다. 기업 입장에서 고용을 늘릴 것이냐 아니냐를 결정할 때 중요한 고려사항은 한계생산성이다. 이는 한 명의 노동자를 추가로 고용할 때 그 노동자가 추가적으로 기여할 산출량(추가적인 생산량 또는 추가적인 고객 서비스의 양 등)을 말한다. <span adaptation='no'>한계생산성과 평균생산성은 다른 개념</span>이다. 평균생산성이 늘어나도 한계생산성은 변하지 않거나 심지어 감소할 수도 있다.",['한계생산성과 평균생산성은 다른 개념'],"많은 사람들이 회사의 생산성이 높아지면 더 많은 직원이 필요할 거라고 생각해요. 하지만 이것은 꼭 맞는 말이 아니에요.

보통 '생산성'이란 직원 한 명이 얼마나 많은 물건을 만들 수 있는지를 뜻해요. 회사에서 만든 전체 물건의 양을 직원 수로 나누면 직원 한 명당 생산성을 알 수 있어요.

하지만 회사가 직원을 더 뽑을지 말지 결정할 때는 다른 걸 봐요. 새 직원 한 명을 더 뽑았을 때 얼마나 더 많은 물건을 만들 수 있는지를 봐요. <span adaptation='no'>한계생산성과 평균생산성은 다른 개념</span>이에요. 직원 한 명당 평균 생산량이 늘어나도, 새로운 직원을 뽑았을 때 늘어나는 생산량은 그대로이거나 오히려 줄어들 수 있어요.",1.0
